subject_ID,y,x,start_date,stop_date,UUID,latitude,longitude,startdate,enddate
25,33.74951086,-88.3410059,12/6/2015,2/19/2016,1,39.06557031,-105.0315885,5/28/1989,9/21/1989
27,38.13400827,-98.81500487,2/2/2018,5/2/2018,2,30.12914448,-98.59288284,1/28/1984,5/14/1984
13,33.36640836,-99.33939572,6/7/2013,9/16/2013,3,26.58891218,-99.06557368,5/2/1992,8/5/1992
20,38.87115389,-117.160169,12/31/2015,3/22/2016,4,48.20527121,-109.1972146,12/25/1999,4/7/2000
10,31.200078,-104.397762,7/12/2014,10/1/2014,5,37.84788612,-88.50537558,12/1/1986,3/11/1987
30,42.87499971,-112.1847232,5/20/2016,8/7/2016,6,44.99263917,-67.82750461,4/25/2021,8/16/2021
12,36.63417978,-109.3682525,12/12/2021,2/28/2022,7,43.92104604,-95.39969704,3/21/2021,7/1/2021
8,40.03246268,-86.12959352,7/22/2012,10/14/2012,8,48.93674952,-98.41690665,3/22/2004,7/3/2004
7,48.68615147,-105.4929958,11/20/2020,2/20/2021,9,47.12876414,-68.07725933,6/10/2019,10/3/2019
15,42.66629638,-116.5130379,8/17/2018,10/25/2018,10,43.85164816,-108.4676411,8/31/2005,1/7/2006
19,44.39021555,-103.3766091,5/17/2019,8/16/2019,11,30.68804128,-100.1556056,5/11/2008,8/11/2008
23,44.48903819,-106.7121564,9/5/2021,12/15/2021,12,40.94260536,-87.03224988,2/3/2015,5/24/2015
6,38.78049142,-86.85566679,8/28/2018,12/15/2018,13,34.16339789,-110.5450597,3/5/2022,6/13/2022
7,31.90448248,-110.9028851,2/19/2015,6/1/2015,14,43.12907291,-114.1585788,6/13/2010,9/24/2010
4,33.79973971,-79.20180105,7/2/2021,10/6/2021,15,35.60418641,-111.6507387,4/23/2007,8/19/2007
10,34.46262922,-88.38440815,7/6/2021,9/15/2021,16,41.51472026,-90.42701769,2/24/2005,6/15/2005
17,32.36066246,-112.1213501,6/20/2018,9/11/2018,17,39.83155628,-93.00817457,9/10/1985,1/6/1986
8,32.53970468,-110.4995383,9/15/2012,12/9/2012,18,42.22673169,-110.5695801,4/18/2020,8/15/2020
3,31.71441272,-84.8354356,5/8/2013,8/12/2013,19,42.96161122,-88.24491618,11/8/2021,3/11/2022
14,45.26464305,-99.03136558,3/3/2017,5/30/2017,20,39.51873331,-91.06739561,10/11/2015,2/16/2016
28,46.1829228,-113.8702931,11/18/2016,2/2/2017,21,31.54462992,-84.45484042,10/28/2012,2/1/2013
6,40.54450152,-103.0750077,8/5/2015,11/18/2015,22,34.09710369,-113.5310723,7/9/2017,10/14/2017
9,30.14627543,-100.8797247,7/16/2020,10/22/2020,23,36.42243901,-83.6970931,3/25/1987,7/8/1987
33,41.89349631,-117.6679144,9/16/2015,12/16/2015,24,43.66046111,-106.6671242,4/24/1995,8/1/1995
19,27.5229811,-81.97075813,9/6/2020,12/16/2020,25,41.09400705,-87.3079471,4/12/2020,7/20/2020
34,30.14409024,-100.9984204,5/21/2020,8/4/2020,26,41.37251118,-88.80443386,3/10/2006,7/4/2006
1,31.66590503,-91.69104579,2/5/2015,5/11/2015,27,31.48310797,-103.2209916,5/29/2020,9/15/2020
28,31.03462538,-103.0895063,8/17/2015,11/8/2015,28,42.1447068,-99.02674126,8/5/2005,11/25/2005
30,41.29582416,-73.15567984,1/10/2012,4/14/2012,29,47.27052561,-105.8171604,7/23/2007,11/8/2007
4,42.81012779,-90.07174029,6/18/2012,9/14/2012,30,28.60125494,-97.98120502,1/5/1989,4/19/1989
26,47.29114434,-92.32525372,3/5/2021,6/8/2021,31,33.93451053,-112.8569825,4/24/1989,8/20/1989
11,32.90832756,-87.00596696,5/12/2021,8/22/2021,32,30.73970089,-91.07996681,12/3/2013,3/14/2014
5,44.83147409,-87.30660756,9/15/2018,12/13/2018,33,39.10957212,-114.9386661,10/25/1989,3/5/1990
19,38.46734536,-78.58881279,5/17/2015,8/24/2015,34,37.41627681,-96.17617955,1/11/2011,5/14/2011
33,36.42151345,-99.17959087,9/9/2021,11/25/2021,35,26.54318114,-81.23809824,11/16/1999,2/25/2000
5,32.9594704,-110.4786858,1/24/2017,4/15/2017,36,39.72193246,-80.74070857,4/16/2021,7/24/2021
23,32.30105516,-99.31629829,7/30/2016,11/11/2016,37,36.50962658,-76.2000802,1/31/1996,5/23/1996
25,37.04135278,-106.2116488,4/3/2021,7/4/2021,38,36.45841817,-88.5765389,1/18/2016,5/17/2016
21,46.41139671,-69.11670901,6/28/2021,9/4/2021,39,31.69916727,-110.2731717,10/14/2008,1/21/2009
5,40.202129,-84.87573559,4/17/2012,7/1/2012,40,27.80221234,-80.63260394,6/30/2004,10/17/2004
12,31.13829431,-98.53691217,1/8/2012,4/4/2012,41,45.19955114,-100.6718585,9/15/1991,1/1/1992
2,48.97101488,-114.0932508,9/17/2013,12/23/2013,42,40.29393841,-120.1929496,2/1/2008,5/20/2008
18,39.90966694,-112.7827998,9/17/2012,12/14/2012,43,39.69032513,-106.3964266,4/28/2012,7/29/2012
4,47.36993633,-115.9047754,2/1/2019,5/7/2019,44,34.75684603,-76.48848978,8/31/2005,12/18/2005
23,40.66602843,-96.83018156,3/31/2021,7/7/2021,45,43.18105475,-77.18283213,6/4/2014,9/25/2014
8,35.79126421,-82.15873608,7/1/2018,10/14/2018,46,36.7067733,-96.71714263,12/2/2009,4/10/2010
1,34.55283378,-116.2124958,1/2/2015,4/1/2015,47,44.32302995,-114.8362164,11/1/2005,2/22/2006
11,45.21184512,-102.5407536,5/18/2018,8/14/2018,48,41.76797819,-93.3796541,7/27/2014,11/13/2014
11,38.01619081,-81.22190478,5/27/2016,8/6/2016,49,37.90052002,-88.43152802,5/4/1992,9/5/1992
15,34.4182441,-86.31254001,2/20/2021,5/21/2021,50,40.59492559,-90.11348531,11/2/1984,3/2/1985
15,46.41621358,-90.90902926,3/25/2017,6/16/2017,51,48.15274044,-122.0543814,7/27/2017,11/18/2017
15,36.78697648,-95.71054318,7/9/2015,9/26/2015,52,41.44167269,-82.10589488,2/5/2017,6/2/2017
15,42.64156445,-97.80798494,10/25/2016,1/20/2017,53,42.87668932,-124.3097109,1/22/1993,5/5/1993
25,46.9483228,-118.7631602,7/22/2012,10/29/2012,54,45.47951788,-87.86240667,10/20/1997,2/2/1998
3,37.34464023,-108.0133469,10/12/2016,12/20/2016,55,32.50315335,-102.3185826,4/10/1991,8/2/1991
7,36.49761534,-88.95958508,5/27/2015,8/19/2015,56,36.86364101,-110.9903268,6/19/2005,10/28/2005
4,44.93935251,-103.4137481,7/6/2019,10/4/2019,57,36.4336378,-84.79671766,8/21/1984,12/3/1984
24,36.52571244,-97.12493341,5/16/2021,8/4/2021,58,34.28816266,-101.2064107,11/14/1995,2/22/1996
4,42.59956214,-97.26804854,10/28/2013,1/28/2014,59,34.2479368,-101.7852164,5/23/1991,9/16/1991
3,40.27470705,-78.85332413,9/16/2014,12/18/2014,60,35.47079631,-109.4475619,4/15/2010,8/3/2010
11,37.74286084,-118.2892218,2/16/2015,5/15/2015,61,31.8884701,-102.4471507,1/15/2009,5/8/2009
10,37.71220825,-101.0972894,3/27/2013,5/30/2013,62,33.2920304,-85.28157666,12/16/2019,4/2/2020
29,30.06471274,-102.7804778,5/5/2014,8/27/2014,63,42.71277725,-77.26707715,10/27/1994,2/27/1995
23,36.26587871,-79.20811012,5/1/2017,7/27/2017,64,40.16054378,-120.0723319,2/3/1990,5/27/1990
5,30.48521243,-83.80653445,5/21/2016,8/24/2016,65,47.51939362,-96.97666968,4/11/2008,7/26/2008
24,48.41875798,-111.253017,4/23/2019,7/23/2019,66,40.50320743,-114.649639,12/28/2000,4/5/2001
32,41.87145536,-104.2761618,5/13/2017,8/20/2017,67,45.69376883,-86.6313052,5/1/1991,8/30/1991
25,36.09432491,-77.26810368,10/7/2013,1/12/2014,68,48.18697805,-118.808629,11/20/1987,3/8/1988
11,40.48341642,-87.18587216,11/25/2014,2/20/2015,69,35.84231165,-102.5126443,2/1/2006,5/17/2006
10,35.19453214,-117.342803,7/23/2020,10/23/2020,70,44.43442995,-100.4953707,6/18/1987,10/12/1987
15,39.28143876,-89.33393834,10/1/2021,12/19/2021,71,40.81469658,-123.1292905,11/9/2005,2/26/2006
31,44.05407731,-110.6420107,6/17/2015,9/22/2015,72,39.03043116,-104.2790482,2/4/2012,5/6/2012
10,41.30052976,-106.3381884,6/9/2014,9/1/2014,73,34.91596987,-89.29818985,1/8/2000,5/6/2000
24,45.30571783,-101.0685422,7/13/2016,11/3/2016,74,33.22224996,-116.7600247,1/14/2010,5/19/2010
10,39.48799028,-90.40923583,2/28/2017,5/11/2017,75,31.05378503,-91.74752271,3/20/2020,7/16/2020
8,37.61772107,-111.9417045,8/20/2015,11/12/2015,76,48.57666854,-116.3624452,5/8/2009,8/26/2009
32,41.00116316,-77.94582093,6/8/2020,9/13/2020,77,40.85719024,-105.7807845,9/30/2001,1/9/2002
7,34.71098965,-100.8232609,10/26/2013,1/28/2014,78,38.11148523,-86.66689116,3/20/1991,7/6/1991
17,33.34662242,-114.0920367,7/25/2021,10/16/2021,79,40.63432375,-115.3707809,12/6/1988,3/20/1989
20,34.23044174,-86.61712297,7/27/2017,10/14/2017,80,42.44603934,-75.38481276,4/25/1985,8/29/1985
33,39.31365113,-98.3475514,6/23/2016,9/21/2016,81,34.90979315,-108.5387382,6/18/2015,10/12/2015
10,42.26631365,-79.31860584,9/11/2020,12/9/2020,82,44.50466046,-99.43791051,11/11/2013,3/7/2014
10,38.57501859,-85.59359017,3/3/2014,5/13/2014,83,31.38109524,-86.14644503,2/27/2004,6/18/2004
2,46.45437042,-67.85071244,11/12/2015,2/9/2016,84,41.2663301,-99.64386945,5/5/1984,8/23/1984
15,34.59816147,-100.59685,11/15/2018,2/14/2019,85,32.78887379,-81.59824781,2/26/2003,7/9/2003
23,47.22919643,-91.65075093,4/18/2015,7/17/2015,86,32.11717744,-107.774236,3/28/1992,7/13/1992
2,42.03575904,-110.5205523,10/4/2012,12/21/2012,87,41.89370169,-95.57547947,8/6/2021,12/4/2021
6,48.44989293,-93.29970994,6/6/2021,9/7/2021,88,31.08601265,-103.7697198,7/29/1997,11/10/1997
9,43.28338215,-101.3551116,8/28/2012,12/8/2012,89,33.63404263,-117.4950912,7/8/1998,10/25/1998
23,47.27575796,-118.2914708,1/24/2012,4/26/2012,90,47.76921912,-102.3965102,9/20/2001,1/12/2002
25,36.13917089,-96.50055362,6/19/2019,9/4/2019,91,37.00382273,-113.0652994,9/4/1990,12/10/1990
15,28.63533165,-97.76084986,12/9/2021,3/3/2022,92,43.29001022,-115.2882094,10/20/2003,2/3/2004
22,43.39126879,-73.31158007,9/22/2016,12/23/2016,93,43.68110512,-96.82045808,8/26/2004,12/13/2004
8,30.24983551,-81.61094131,9/15/2017,12/6/2017,94,42.11517351,-102.5277515,4/1/2018,7/15/2018
29,40.92451839,-87.73297882,6/26/2019,9/1/2019,95,46.9599668,-105.2433851,1/17/2004,5/10/2004
21,32.31541478,-94.22098005,2/26/2019,6/3/2019,96,42.11023836,-110.5236705,11/23/2001,3/17/2002
9,45.40648348,-122.0745521,8/19/2015,11/7/2015,97,39.76409183,-114.486359,9/18/1996,1/3/1997
34,34.40415903,-89.56690453,10/8/2016,12/30/2016,98,44.37701089,-115.1354444,11/23/1991,3/19/1992
11,39.90139119,-108.1046753,11/27/2022,3/11/2023,99,32.98624918,-98.77632113,10/27/2022,2/15/2023
4,48.83455367,-104.1872236,8/28/2017,11/17/2017,100,40.02180961,-108.506022,5/18/1987,9/4/1987
